,left.ang.x,left.ang.y,left.ang.z,left.acc.x,left.acc.y,left.acc.z,left.forces.0,left.forces.1,left.forces.2,left.forces.3,left.forces.4,left.forces.5,left.forces.6,left.forces.7,left.forces.8,left.forces.12,left.forces.13,left.forces.14,left.forces.17,left.forces.18,left.forces.21,left.forces.22,right.ang.x,right.ang.y,right.ang.z,right.acc.x,right.acc.y,right.acc.z,right.forces.0,right.forces.1,right.forces.2,right.forces.3,right.forces.4,right.forces.5,right.forces.6,right.forces.7,right.forces.8,right.forces.12,right.forces.13,right.forces.14,right.forces.17,right.forces.18,right.forces.21,right.forces.22
2459,-3.0,2.0,0.0,-11.0,21.0,1032.0,0.5755724,1.1117884,1.0010482,1.208818,1.6779507,3.7759173,3.4406962,0.71829695,1.7687734,6.1536126,2.802883,3.0344293,23.56687,11.068397,20.42178,21.042973,-354.0,-58.0,-134.0,-247.0,2549.0,3420.0,0.15836105,1.5306237,0.7735506,0.568696,-2.9181287,1.6011511,4.447614,1.0613413,1.3527391,-0.5658293,0.9206464,-0.38909772,-0.26711157,0.6797736,-0.0121766245,-1.1498079
2460,-2.0,0.0,0.0,-5.0,34.0,1004.0,0.62537456,1.1621382,1.1657752,1.208818,2.2045653,5.1427746,4.5354605,1.9032222,2.5012906,5.8286023,3.1080737,3.5957768,19.871258,10.297954,14.07246,13.126252,260.0,-61.0,-5.0,-1409.0,2677.0,-286.0,-0.6812132,0.8930551,0.7968964,0.66011906,-3.0753064,1.1998174,4.3441553,0.78660965,1.3527391,-0.28699034,0.91615796,-0.4934752,-0.3845588,0.823661,-0.21597317,-0.7789142
2461,-3.0,-2.0,0.0,-4.0,32.0,1001.0,0.9453843,1.5953346,1.3283728,1.3663871,2.1343691,6.31259,6.029727,3.0600672,2.9033885,6.557431,3.7603283,3.3892727,14.625133,7.0846324,8.638462,7.9034295,261.0,34.0,11.0,-354.0,1085.0,632.0,-1.1408108,0.692807,0.7750686,0.66011906,-3.0753064,0.79954964,4.0718846,0.5802484,1.2207155,-0.15037605,0.91407496,-0.4934752,-0.20746252,0.5056839,-0.11332944,-0.9626641
2462,-7.0,-1.0,0.0,1.0,24.0,998.0,1.5391406,2.1438167,1.5509864,2.3623683,2.2045653,7.18189,7.3334293,4.786412,3.9524617,7.037682,5.09625,3.4406135,9.616471,5.5222898,5.9324374,4.857437,353.0,16.0,44.0,-357.0,750.0,711.0,-0.774036,0.79405826,0.7897148,0.7235645,-2.7640522,0.8661904,4.1200867,0.62470526,1.239265,-0.015593896,0.9206464,0.10285662,-0.26711157,0.5399956,0.28283086,-1.1498079
2463,-7.0,-2.0,1.0,-2.0,24.0,1003.0,2.046764,2.9669907,1.9347457,2.9176853,2.7018344,9.288441,9.282533,6.3130236,4.1119967,7.8259044,6.136271,3.7528043,5.493727,4.4509196,4.492637,3.040751,369.0,59.0,50.0,-554.0,226.0,1041.0,-1.2309331,0.79405826,0.783143,0.788982,-3.2356255,0.5997927,4.0718846,0.62470526,1.3298384,-0.015593896,0.9206464,0.0083313575,-0.3845588,0.57455915,0.4729377,-0.9626641
2464,-6.0,-3.0,1.0,-1.0,18.0,1003.0,2.5669734,4.2916307,2.6308188,3.7343292,3.6373787,12.165525,10.267902,7.0963492,4.9346166,8.290968,8.082766,4.1820602,3.0203023,3.597998,2.6822035,2.1274328,364.0,101.0,43.0,-473.0,-70.0,1428.0,-1.2309331,0.5892044,0.783143,0.788982,-3.0753064,0.7329366,4.0718846,0.523243,1.3527391,-0.015593896,0.91407496,-0.5999362,-0.3261457,0.5399956,0.3785097,-1.7320627
2465,-7.0,-6.0,4.0,15.0,18.0,1005.0,3.3471012,5.9578342,3.4212167,3.2583425,4.49774,13.974128,13.168851,9.993616,5.9581122,7.6695533,8.669383,4.347464,1.059888,2.202734,1.4620366,0.95922124,358.0,137.0,23.0,-407.0,-257.0,1932.0,-1.2309331,0.48315126,0.77827114,0.75602806,-3.0753064,0.5997927,4.000637,0.6487849,1.3527391,0.11738434,0.93664944,-0.38909772,-0.3845588,0.6444469,0.65822107,-1.5344609
2466,-13.0,-4.0,6.0,15.0,10.0,1018.0,4.1056147,7.485844,5.125731,3.7850797,6.4117618,20.051605,19.57432,12.13965,6.390686,5.9099965,7.8870363,2.6855364,0.45152625,1.1414834,-0.38901776,0.86700326,362.0,163.0,35.0,-449.0,-428.0,2311.0,-1.2309331,0.692807,0.77517587,0.6291427,-3.0753064,0.46675768,4.095915,0.5802484,1.3527391,-0.015593896,0.91615796,-0.1864424,-0.3845588,0.57455915,0.4729377,-1.5344609
2467,-37.0,17.0,4.0,-28.0,-12.0,1036.0,5.177698,9.419541,4.9935107,3.9845905,7.323072,25.18466,29.390022,15.759349,7.2591105,3.9498367,6.3287516,1.4910696,0.39694083,1.237611,-0.38901776,0.82150817,338.0,197.0,41.0,-701.0,-996.0,2434.0,-1.4086262,0.692807,0.7897148,0.7235645,-2.9181287,0.5332616,4.0479956,0.55992734,1.3298384,0.11738434,0.91615796,-0.1864424,-0.20746252,0.40424585,0.3785097,-1.3403915
2468,-88.0,-1.0,8.0,3.0,-31.0,1238.0,6.009326,10.265918,5.192123,4.6050444,8.964892,31.461826,41.43722,20.578741,6.477418,2.7594016,3.7603283,0.12608112,0.45152625,1.4245921,-0.38901776,0.82150817,206.0,222.0,39.0,401.0,-2762.0,2251.0,-1.1408108,0.37454644,0.783143,0.66011906,-3.0753064,0.5997927,4.0479956,0.6487849,1.2747478,1.0000433,0.9274927,-0.1864424,0.099798664,0.43781045,0.18585505,0.41608608
2469,-122.0,-7.0,6.0,-3.0,-63.0,1299.0,6.3292303,10.695339,5.72944,6.627437,9.35323,37.812836,47.410767,24.214483,3.3365638,2.606189,1.6594356,0.0060154353,0.86577916,0.9433062,-0.38901776,0.64371467,127.0,85.0,40.0,1132.0,-3768.0,2026.0,-1.1408108,0.48315126,0.783143,0.66011906,-2.4650414,0.40028092,4.1200867,0.78660965,1.3092324,1.8049235,0.97752035,-0.088089146,0.75722075,0.7153573,2.0060406,4.868653
2470,-186.0,0.0,13.0,37.0,-102.0,1374.0,6.11664,12.672853,7.1110053,8.836267,4.8823867,34.106438,44.19811,24.489923,1.5907557,2.1580234,1.1470188,0.3024515,0.74179983,0.57467,-0.49379984,0.64371467,-83.0,-198.0,29.0,1148.0,-4490.0,1265.0,-0.774036,0.79405826,0.8080829,0.7235645,-2.320026,0.40028092,4.0718846,0.6018505,1.3298384,2.739519,1.0154818,0.0083313575,2.3064318,2.2206228,11.134726,7.2286077
2471,-285.0,0.0,40.0,298.0,-141.0,1999.0,4.8884096,11.2375345,8.316225,10.725668,1.9320737,18.914536,24.986576,21.398481,1.4746094,1.0821,1.0230237,0.5873366,0.5642031,0.29151344,-0.81305677,0.64371467,-166.0,-101.0,101.0,-108.0,967.0,1664.0,-0.49478763,0.79405826,0.8059905,0.69159395,-2.1779497,0.40028092,4.0718846,0.45600685,1.239265,4.0901074,1.061603,0.37543488,6.7869716,4.566103,30.617188,19.991922
2472,-454.0,-2.0,87.0,577.0,-328.0,2058.0,3.730115,6.0502505,7.3219337,8.311417,1.7089458,9.95496,10.336589,14.397838,1.6765945,1.395426,1.0049974,0.24414083,0.92940825,0.4635567,-0.49379984,0.82150817,-13.0,-16.0,0.0,-1.0,-4.0,1047.0,-0.120884605,1.1774578,0.7735506,0.89075863,0.37357467,1.8022515,4.1444016,0.47855392,1.6129763,8.88378,2.8657882,3.8758616,22.95505,14.960243,23.1786,14.748746
