,0,1,2,3,4,5,6,7,8,9
0,0,0,0,51,48,42,0,0,0,0
1,0,0,51,50,46,42,37,0,0,0
2,0,51,50,48,45,41,39,36,0,0
3,0,50,48,46,43,41,39,37,35,0
4,0,50,47,45,43,41,40,39,37,0
5,0,49,47,45,43,41,41,40,38,0
6,49,48,46,45,43,42,41,40,38,0
7,48,47,46,44,43,41,40,40,40,40
8,48,46,45,43,42,41,40,40,41,42
9,48,45,44,43,41,40,40,41,43,45
10,51,45,43,42,41,41,41,42,44,47
11,57,46,42,43,51,53,47,44,45,49
12,71,49,45,58,71,74,64,49,46,51
13,97,65,57,73,86,87,77,59,51,57
14,116,95,82,88,95,96,84,67,61,73
15,116,124,101,102,106,100,88,76,75,97
16,0,154,119,112,113,103,92,88,92,123
17,0,185,139,125,120,112,100,101,111,143
18,0,209,160,139,128,118,110,113,129,0
19,0,221,172,150,137,125,117,123,146,0
20,78,220,175,153,139,130,119,127,163,0
21,246,209,164,140,132,125,113,126,174,0
22,233,186,140,117,114,112,103,122,174,0
23,217,154,113,93,91,92,92,118,170,0
24,198,127,88,72,73,75,84,117,88,0
25,177,110,76,61,62,65,80,121,0,0
26,0,112,72,57,54,61,81,135,0,0
27,0,132,79,61,57,66,92,146,0,0
28,0,77,104,79,75,86,122,0,0,0
29,0,0,1,125,121,129,0,0,0,0
