,left.ang.y,left.ang.z,left.acc.x,left.acc.y,left.acc.z,left.forces.0,left.forces.1,left.forces.2,left.forces.3,left.forces.4,left.forces.5,left.forces.6,left.forces.7,left.forces.8,left.forces.12,left.forces.13,left.forces.14,left.forces.17,left.forces.18,left.forces.21,left.forces.22,left.totalForce,right.ang.y,right.ang.z,right.acc.x,right.acc.y,right.acc.z,right.forces.0,right.forces.1,right.forces.2,right.forces.3,right.forces.4,right.forces.5,right.forces.6,right.forces.7,right.forces.8,right.forces.12,right.forces.13,right.forces.14,right.forces.17,right.forces.18,right.forces.21,right.forces.22,right.totalForce
6506,5.0,-5.0,-52.0,-93.0,1186.0,0.08343187,0.87324756,0.91130126,-0.016990552,-0.3784427,0.98210907,2.9785597,0.34328243,1.5907557,6.0725074,5.754003,4.6291323,28.506006,14.3610935,20.625563,20.36377,107.67933,-10.0,-73.0,-642.0,-1601.0,2898.0,2.125266,4.434259,2.5297706,3.9198847,1.2635258,8.283798,12.093508,12.1948805,1.2499111,0.37804067,1.1155406,1.7773296,-0.08634382,0.7153573,-0.11332944,-2.138051,49.743343
6507,0.0,-4.0,-10.0,-12.0,1008.0,0.3883432,1.1117884,0.9770462,0.96459174,0.47034997,2.7049298,3.4709802,1.5307568,3.7949698,9.203411,10.315682,7.4358926,30.283485,17.639343,16.002598,15.598036,121.89221,44.0,-77.0,414.0,-206.0,3615.0,0.4348344,2.1672602,1.186192,1.5047237,-1.0247353,4.1783752,7.2056537,4.362422,1.2607923,0.37804067,0.9274927,1.1760979,0.8259624,0.6797736,0.18585505,-1.5344609,23.914278
6508,0.0,-2.0,-1.0,11.0,1007.0,0.4794531,1.2133504,0.95407593,1.4436396,1.4350413,5.3444633,4.8709135,3.9915302,4.767274,10.897033,13.389406,10.136457,25.911867,15.487216,11.217472,9.991835,121.53102,104.0,-76.0,-330.0,1409.0,3245.0,-0.86649245,1.1774578,0.77350503,0.75602806,-2.6130366,1.400345,4.607441,0.8823086,1.5405912,-0.4254652,0.9206464,0.87444043,0.037163474,0.5399956,0.08753522,-0.9626641,8.729799
6509,-1.0,-1.0,3.0,-2.0,1004.0,0.6762685,1.7712145,1.4736259,1.9572018,2.50152,8.091436,6.029727,5.925775,6.2174077,10.969481,14.465311,10.680692,20.658117,12.237763,8.23802,7.114407,119.00798,57.0,64.0,-262.0,2955.0,61.0,-1.1408108,0.692807,0.783143,0.82242346,-2.6130366,0.93285894,4.447614,0.55992734,1.5405912,-0.4254652,0.91615796,0.87444043,-0.08634382,0.5056839,0.18585505,-1.5344609,6.461385
6510,-1.0,-1.0,4.0,6.0,1004.0,1.4772713,1.9541074,1.5119236,2.163584,3.048923,9.786478,7.229943,7.7572045,6.1308823,9.35331,12.843838,10.406552,14.625133,7.8313932,6.210329,4.9890747,107.31994,-87.0,88.0,215.0,781.0,1113.0,-1.1408108,0.692807,0.7735506,0.85634995,-2.7640522,0.66635096,4.4215207,0.6487849,1.5030708,-0.5658293,0.9274927,1.1028469,-0.20746252,0.37092736,-0.0121766245,-0.5985127,6.6748576
6511,-2.0,-1.0,-1.0,10.0,1004.0,1.6014339,2.2739806,1.8447038,2.4270191,2.8280098,10.554402,7.868637,8.694594,5.871891,8.826017,11.266079,10.406552,8.493013,4.403595,4.5670724,3.7079558,95.63495,-29.0,-17.0,-612.0,385.0,413.0,-0.774036,0.37454644,0.77827114,0.7235645,-3.0753064,0.79954964,4.2681437,0.6018505,1.4356092,-0.7081114,0.9206464,0.71459866,-0.024885884,0.57455915,0.28283086,-0.7789142,6.112916
6512,-2.0,0.0,-1.0,8.0,1005.0,1.9823542,3.1136477,2.6308188,2.6163769,3.2356772,10.903763,7.9238276,9.786073,5.614027,8.597689,9.834914,10.406552,3.666547,2.7723975,2.1721714,2.4613025,87.71815,46.0,-41.0,-81.0,610.0,788.0,-0.49478763,0.48315126,0.7750686,0.69159395,-3.0753064,0.5997927,4.293332,0.54091585,1.5806947,-0.5658293,0.91407496,1.1028469,-0.024885884,0.47162265,0.28283086,-0.7789142,6.7962008
6513,-3.0,0.0,-1.0,2.0,1005.0,2.046764,3.964637,3.0726268,2.7389574,3.2838058,12.537126,8.610835,10.411935,5.2725616,8.597689,9.641694,10.865686,1.2634943,1.6497122,1.7326152,1.2454054,86.93554,6.0,22.0,-16.0,518.0,1104.0,-0.774036,0.9898924,0.77517587,0.7235645,-2.7640522,0.5997927,4.3697925,0.5069384,1.5030708,-0.4254652,0.9144459,0.87444043,0.037163474,0.47162265,0.18585505,-1.5344609,6.4537396
6514,-3.0,2.0,3.0,-2.0,1003.0,2.6322873,4.884663,3.782559,2.858772,3.3818269,12.630793,10.615219,11.335543,5.2725616,7.9038315,9.931336,10.588863,0.8032392,0.99363226,1.0927552,1.1005566,89.80843,39.0,22.0,-260.0,146.0,1454.0,-0.774036,0.5892044,0.783143,0.7235645,-2.6130366,0.66635096,4.243103,0.523243,1.5806947,-0.28699034,0.9206464,1.5877953,-0.024885884,0.47162265,0.3785097,-1.3403915,7.428538
6515,-2.0,2.0,-1.0,-4.0,1014.0,3.8561904,5.9578342,4.092242,3.2583425,3.8528764,14.969936,13.168851,14.152873,4.767274,7.3548875,10.027628,10.226038,0.6222699,0.7363365,0.42136043,0.86700326,98.33195,38.0,22.0,-68.0,-114.0,1838.0,-0.774036,1.1774578,0.7735506,0.7235645,-2.9181287,0.5332616,4.243103,0.5069384,1.5030708,-0.28699034,0.91615796,0.10285662,0.037163474,0.47162265,0.28283086,-1.1498079,6.1426153
6516,9.0,1.0,2.0,-48.0,1066.0,4.2901387,7.983256,5.125731,4.322789,4.948769,20.515142,24.537209,19.68279,3.7170453,4.60182,6.3287516,5.462563,0.14204775,0.40694413,-0.07942656,1.1005566,113.08613,49.0,35.0,-198.0,-582.0,2293.0,-0.58810455,1.2683654,0.77350503,0.66011906,-3.0753064,0.5332616,4.293332,0.5069384,1.4680909,-0.28699034,0.9144459,0.87444043,0.099798664,0.47162265,0.4729377,-1.1498079,7.2366486
6517,4.0,4.0,-11.0,-71.0,1103.0,5.177698,9.419541,5.8653374,5.2544928,5.648255,24.159279,38.38656,27.75673,3.6396985,3.0705388,4.547586,3.2362866,0.14204775,0.29151344,-0.38901776,0.7764276,136.98297,51.0,37.0,-203.0,-1552.0,2815.0,-1.1408108,1.0846632,0.77827114,0.69159395,-3.2356255,0.7329366,4.2182093,0.54091585,1.5030708,-0.7081114,0.91615796,0.46275258,0.099798664,0.5056839,0.3785097,-1.5344609,5.293555
6518,2.0,3.0,-25.0,-111.0,1200.0,5.62754,11.565593,6.414337,6.470882,5.3607,30.56826,55.159725,38.601105,2.4377434,1.8004907,2.0533543,1.9436258,0.74179983,0.40694413,-0.28503552,0.7764276,169.6435,41.0,12.0,257.0,-2647.0,2408.0,-1.2309331,1.5306237,0.77350503,0.788982,-2.6130366,0.5997927,4.193462,0.5069384,1.3298384,-0.28699034,0.9206464,0.71459866,-0.024885884,0.47162265,0.3785097,-1.3403915,6.7122827
6519,-5.0,0.0,-52.0,-145.0,1271.0,5.7924094,10.911513,7.3924227,7.3993974,4.1363974,33.626877,66.77104,46.538605,1.7219117,1.395426,1.3840313,0.7533995,0.99411494,0.3496027,-0.59939283,0.7764276,189.3442,21.0,-43.0,132.0,-3675.0,1304.0,-0.6812132,0.48315126,0.7750686,0.7235645,-2.6130366,0.8661904,4.1444016,0.5069384,1.2747478,-0.015593896,0.9274927,0.71459866,-0.26711157,0.6444469,0.4729377,-1.3403915,6.616191
6520,-12.0,0.0,-43.0,-206.0,1333.0,5.57214,11.785392,7.675235,8.769179,2.871112,25.314548,57.446407,41.644096,1.4746094,0.9638952,1.2047257,0.41770005,1.4043623,0.17301486,-0.28503552,0.64371467,167.0751,9.0,-19.0,289.0,-3852.0,703.0,-0.49478763,0.9898924,0.83362854,0.59866744,-2.1779497,0.66635096,4.243103,0.5069384,1.3092324,0.37804067,1.0375441,1.1760979,0.8259624,1.0094075,0.28283086,-0.5985127,10.586447
6521,-17.0,10.0,52.0,-261.0,1525.0,5.2916203,10.695339,7.040881,9.317694,2.240233,15.3766575,36.186684,33.76727,1.5503165,1.0224552,1.3443327,0.4746641,1.4043623,0.68309057,-0.38901776,0.7764276,126.78301,-13.0,71.0,135.0,-1133.0,868.0,-0.6812132,0.692807,0.8080829,0.66011906,-2.1779497,1.1998174,4.2182093,0.8823086,1.2489771,2.837085,1.145336,0.0083313575,5.332957,2.5959473,16.645294,10.023581,45.43969
6522,28.0,37.0,602.0,-886.0,2796.0,1.727164,3.964637,2.1223402,4.6981635,1.0425442,5.2097955,8.610835,8.897461,1.1614425,0.5873412,1.100041,0.4746641,2.5830057,1.237611,-0.38901776,0.82150817,43.84953,-207.0,25.0,478.0,-112.0,3687.0,-0.21431808,1.6148312,0.7980176,0.69159395,-0.90978354,0.9995556,4.193462,0.6487849,1.2207155,6.45488,1.8447034,1.3184868,20.467852,13.735196,32.85381,28.115473,113.83326
6523,-41.0,35.0,64.0,-1172.0,3450.0,0.9453843,1.9541074,1.3283728,1.9572018,-0.07636962,2.5167255,4.5719023,2.5663476,1.4623692,0.3179901,0.9924446,0.18535511,2.1671548,0.84098905,-0.49379984,0.6875268,21.9237,-7.0,11.0,11.0,-113.0,1315.0,0.34307277,0.9898924,0.8199424,0.82242346,-0.57966906,2.3401043,4.1200867,1.437056,1.516997,9.127845,5.1730304,4.6750493,26.951822,17.259476,21.826788,17.601658,114.42558
6524,-29.0,28.0,580.0,1403.0,3103.0,0.18552329,1.1117884,1.0790735,0.07808286,-0.9739776,1.3092263,3.5014343,0.59584934,2.0083463,0.3590551,0.991665,0.0060154353,0.99411494,0.84098905,-0.59939283,0.86700326,12.354797,0.0,-2.0,-21.0,0.0,990.0,-0.3078242,1.6975665,0.783143,0.96101207,0.4575044,5.362554,5.2751517,1.5754421,4.50416,12.922286,9.489053,8.021789,18.983004,12.649522,13.4436035,9.704221,105.522194
6525,4.0,-235.0,589.0,1943.0,537.0,0.26207143,1.2654171,1.0010482,0.7105949,-1.0408092,1.3092263,3.2625175,0.43469995,2.0083463,0.3179901,0.991665,0.06630566,0.99411494,0.62920773,-0.81305677,0.82150817,12.220848,0.0,-2.0,-20.0,-2.0,993.0,0.34307277,1.7789066,0.7750686,0.82242346,1.1984066,6.287971,5.6945014,2.454258,4.6487975,12.531859,9.319713,7.7106605,13.175613,9.639433,10.461343,7.731038,94.573074
6526,117.0,-153.0,-25.0,1040.0,715.0,0.18552329,1.2133504,0.9770462,0.6236984,-0.8445332,0.78288835,3.291799,0.45960155,2.0083463,0.27855557,0.991665,0.4746641,1.1267163,0.29151344,-0.49379984,0.82150817,12.188543,0.0,-1.0,-18.0,-3.0,991.0,0.7071733,2.6019106,0.8164951,0.9256469,1.5096245,6.5768685,5.6610923,2.3439438,4.010088,11.637368,8.20654,6.705179,10.773364,7.3328533,8.71167,7.4967513,86.01656
6527,23.0,35.0,377.0,443.0,642.0,0.115675956,1.1621382,1.0010482,0.35614976,-1.0408092,0.8495664,3.3508573,0.38733146,2.0886557,0.3179901,0.991665,0.18535511,0.92940825,0.68309057,-0.28503552,0.95922124,12.052308,1.0,-2.0,-23.0,-5.0,989.0,1.6533073,2.741349,0.8416288,0.89075863,1.5677431,5.858419,5.5620375,2.5099792,3.603847,11.072046,7.077678,6.0050573,8.978564,6.0479455,8.011224,7.0924263,79.51401
6528,-11.0,71.0,-123.0,472.0,767.0,0.115675956,1.1117884,0.95407593,-0.016990552,-0.9739776,1.179053,3.3212454,0.34328243,1.8600168,0.3179901,0.991665,0.24414083,1.1267163,0.57467,-0.28503552,0.91290903,11.7772255,0.0,-2.0,-23.0,-1.0,989.0,0.9742058,2.8788168,0.8416288,0.75602806,1.6245738,7.0143094,5.9339485,3.02617,2.9700725,10.934291,6.990533,7.4101143,6.488778,5.287188,6.3560925,6.5719113,76.05866
6529,0.0,-32.0,141.0,162.0,1377.0,0.14972906,1.0623085,0.91130126,0.1719577,-1.0408092,0.64866316,3.1756516,0.38733146,2.0083463,0.3179901,1.0762466,0.24414083,1.2634943,0.5194591,-0.49379984,1.1005566,11.502566,0.0,-3.0,-24.0,-3.0,996.0,1.9717957,3.88536,0.9701911,0.9256469,1.9893855,7.457032,6.2935867,4.4869957,3.2795475,11.002996,7.599944,7.2638245,3.9718328,4.7426357,4.675206,6.16229,76.678276
6530,-17.0,-11.0,232.0,69.0,1760.0,0.14972906,1.0137068,0.95407593,-0.016990552,-0.9739776,0.64866316,3.2625175,0.34328243,2.1731606,0.3179901,1.1570392,0.24414083,1.2634943,0.29151344,-0.49379984,1.0530491,11.387593,1.0,-3.0,-23.0,-8.0,995.0,2.8970172,4.646642,1.155537,1.0331625,2.262535,8.359998,7.0795727,5.113671,3.5378888,11.85557,9.489053,9.639926,2.8692758,3.666969,4.1611595,4.354865,82.12284
6531,-16.0,-19.0,147.0,-220.0,2299.0,0.14972906,0.9659907,0.91130126,-0.016990552,-0.9739776,0.98210907,3.1756516,0.41060627,2.0083463,0.3179901,1.0230237,0.0060154353,1.1267163,0.40694413,-0.59939283,1.0530491,10.947113,5.0,-3.0,-32.0,-10.0,1015.0,3.5994637,6.901229,1.6665663,1.9000177,3.0681283,11.834582,10.077054,10.030915,3.804797,11.141444,11.395395,11.571308,0.55420226,1.3204836,0.65822107,1.0311154,90.5549
6532,-38.0,-29.0,222.0,-1181.0,2937.0,0.22299235,1.1117884,0.95407593,-0.016990552,-0.9739776,0.78288835,3.2625175,0.43469995,2.0886557,0.27855557,1.0111572,0.0060154353,0.8032392,0.17301486,-0.38901776,1.1005566,10.85017,-4.0,-3.0,-47.0,-28.0,1077.0,4.2556195,7.9472136,2.5829008,3.0044339,3.197586,14.163595,13.764867,12.12117,3.4075916,8.10198,9.573513,9.280604,0.099798664,0.751199,-0.11332944,0.09050758,92.22925
6533,-34.0,43.0,-206.0,-2926.0,2623.0,0.18552329,1.1117884,1.0010482,0.07808286,-0.90856284,1.1136401,3.2333996,0.43469995,2.0886557,0.3179901,1.0555149,0.06630566,0.86577916,0.3496027,-0.49379984,1.0059359,11.505604,-16.0,-7.0,-59.0,-67.0,1131.0,4.4552407,8.872175,3.7265341,4.6626663,3.454543,17.744898,22.039787,18.34251,2.9700725,5.3859315,6.1200285,4.309241,0.099798664,0.8971685,-0.11332944,-0.07694865,102.89032
6534,-24.0,101.0,-356.0,-4291.0,1232.0,0.22299235,1.4266679,1.0010482,0.07808286,-1.0408092,1.1136401,3.1756516,0.45960155,1.7918508,0.3179901,1.0555149,0.36030018,1.059888,0.5194591,-0.49379984,1.0530491,12.101128,4.0,-6.0,5.0,-80.0,1349.0,4.493365,10.775247,4.593139,7.222545,3.2938569,23.425806,38.09461,31.397429,1.9661077,3.6651747,2.7248724,1.4556264,-0.14720464,0.8602836,-0.11332944,-1.1498079,132.55774
6535,57.0,-13.0,-1094.0,-6570.0,5054.0,0.18552329,1.1117884,0.95407593,-0.016990552,-0.90856284,1.3740072,3.1470196,0.36488646,2.0083463,0.8501687,1.0408128,1.0231618,1.6231482,0.78896344,6.071716,3.8948374,23.512901,12.0,-1.0,17.0,-117.0,1454.0,4.9141626,11.489912,4.529977,8.132346,3.1006808,25.923191,42.852127,37.297268,1.6475185,1.4689251,1.7369409,0.71459866,0.16301422,0.8971685,-0.21597317,-1.7320627,142.9198
6536,82.0,-88.0,228.0,467.0,895.0,0.08343187,0.9659907,0.87286675,-0.016990552,-1.109089,0.9159696,3.0062442,0.32253042,2.0886557,1.0224552,1.0408128,-0.11616254,12.114367,3.470825,28.838524,31.712433,85.21286,3.0,-23.0,-213.0,-202.0,1835.0,4.567982,11.011202,4.847379,10.060277,1.8906882,16.097649,27.239763,33.324486,1.6129763,0.37804067,1.3611367,0.95205396,0.099798664,0.6797736,-0.11332944,-1.5344609,112.475426
6537,193.0,-13.0,-493.0,-110.0,2452.0,0.14972906,0.8282364,0.8915324,-0.2107684,-0.8445332,0.78288835,2.9785597,0.32253042,1.1748728,4.03096,2.3091314,1.8439589,24.56296,10.297954,26.515709,28.848726,104.482445,-96.0,-54.0,148.0,-1053.0,2403.0,3.1469624,5.867257,2.9108396,8.132346,1.1984066,9.289146,15.123736,18.019989,1.2499111,-0.5658293,1.3209583,1.7773296,-0.024885884,0.7153573,-0.11332944,-1.9332438,66.11495
6538,0.0,-2.0,-23.0,60.0,1018.0,0.14972906,1.0137068,0.91130126,-0.30948925,-0.2228055,1.5030082,3.0340843,0.36488646,3.0446296,6.7180758,5.8491964,4.686414,30.103975,15.383126,21.995163,22.337328,116.562325,63.0,-118.0,-1057.0,-433.0,4028.0,1.3203002,2.2417529,1.0431386,1.5047237,0.4575044,4.524035,8.010716,7.3877025,1.2316191,0.11738434,1.061603,1.7773296,0.22680476,0.6093758,-0.0121766245,-1.1498079,30.352005
6539,0.0,-1.0,-1.0,-21.0,1010.0,0.4794531,1.0137068,0.9321551,1.0470686,0.5803147,2.7049298,3.4406962,1.5307568,3.7170453,9.35331,10.027628,6.926544,31.005486,17.86184,16.943186,17.91854,125.48266,43.0,-99.0,-842.0,597.0,3884.0,-0.40133697,1.6975665,0.7968964,1.0699425,-2.7640522,1.7351843,4.8866835,1.719542,1.4356092,-0.015593896,0.93664944,1.247966,0.22680476,0.47162265,-0.11332944,-0.9626641,11.967489
6540,-1.0,0.0,-3.0,-1.0,1008.0,0.5755724,1.2133504,0.95407593,1.4436396,1.3751245,5.2097955,4.682462,3.871937,4.4365225,10.168016,12.843838,9.350634,28.155167,15.487216,12.499001,12.1289015,124.39525,31.0,68.0,-475.0,3648.0,597.0,-1.1408108,0.9898924,0.77350503,0.75602806,-2.7640522,0.8661904,4.526822,0.62470526,1.5806947,-0.015593896,0.93664944,1.5223149,-0.14720464,0.43781045,-0.0121766245,-1.3403915,7.5943837
6541,-1.0,0.0,2.0,-5.0,1006.0,0.5755724,1.4266679,1.399383,1.5198902,2.7018344,7.4804616,5.594826,5.7974257,5.2725616,9.203411,13.389406,9.958652,19.559092,12.4234295,9.240245,8.341142,113.883995,-53.0,163.0,94.0,1458.0,1317.0,-1.1408108,0.9898924,0.77350503,0.85634995,-2.7640522,0.79954964,4.2681437,0.55992734,1.5405912,0.11738434,0.9274927,0.87444043,-0.14720464,0.37092736,0.18585505,-0.9626641,7.249328
6542,-1.0,0.0,1.0,-5.0,1002.0,1.2945465,1.7712145,1.4736259,1.5198902,2.914748,7.707392,5.9407845,5.990092,5.528382,8.213874,11.077273,8.847275,13.632867,8.481114,7.1656194,5.321296,96.88,-8.0,15.0,-398.0,648.0,590.0,-0.95849884,1.4448645,0.7980176,0.9256469,-3.0753064,0.66635096,4.3697925,0.5802484,1.5806947,-0.5658293,0.9274927,1.0281774,-0.20746252,0.5056839,0.18585505,-0.42141443,7.784313
6543,0.0,0.0,-1.0,-5.0,1004.0,1.4772713,2.2085342,2.4727764,2.163584,2.8280098,8.482886,6.44255,7.6244655,4.8507957,8.213874,9.544907,9.350634,7.2939405,4.8409615,5.367748,3.8948374,87.05776,15.0,-54.0,45.0,631.0,1052.0,-1.1408108,1.0846632,0.77827114,0.82242346,-2.7640522,0.5997927,4.4215207,0.54091585,1.4680909,-0.015593896,0.91407496,0.28637108,-0.26711157,0.40424585,0.18585505,-1.3403915,5.9782643
