,0,1,2,3,4,5,6,7,8,9
0,0,0,137,137,137,138,0,0,0,0
1,0,126,124,124,124,126,130,0,0,0
2,0,114,111,111,112,113,116,121,0,0
3,94,103,101,99,100,102,105,109,0,0
4,97,93,91,90,90,92,95,98,104,0
5,87,86,84,83,83,83,86,90,94,0
6,79,77,76,76,75,75,79,83,88,0
7,72,70,70,69,68,69,72,77,82,87
8,65,62,61,61,60,62,66,71,77,83
9,60,57,56,57,59,61,62,66,73,80
10,57,53,54,63,72,74,69,65,69,78
11,60,53,57,74,88,91,84,71,69,81
12,0,59,60,80,95,99,91,75,71,91
13,0,78,68,78,96,99,90,74,74,107
14,0,105,95,86,91,94,85,74,81,114
15,0,132,119,105,93,87,80,75,95,0
16,0,158,141,124,107,90,82,81,120,0
17,196,184,164,143,123,107,91,88,145,0
18,222,207,184,160,137,119,99,96,162,0
19,241,226,200,173,147,128,105,103,173,0
20,251,232,204,175,148,130,107,109,179,0
21,242,222,193,164,140,122,106,117,185,0
22,215,197,168,143,128,112,105,129,186,0
23,75,173,139,124,115,107,109,144,34,0
24,0,163,119,107,110,113,115,166,0,0
25,0,154,110,111,115,120,123,185,0,0
26,0,162,119,118,121,125,133,199,0,0
27,0,183,139,128,131,135,156,212,0,0
28,0,0,192,152,147,157,203,0,0,0
29,0,0,0,223,217,224,0,0,0,0
