,0,1,2,3,4,5,6,7,8,9
0,0,0,0,0,115,114,114,89,0,0
1,0,0,0,107,103,104,104,104,0,0
2,0,0,100,97,93,93,94,95,97,0
3,0,0,92,88,85,86,87,87,89,0
4,0,88,85,81,78,79,81,83,83,82
5,0,81,77,74,71,73,74,77,78,78
6,0,73,70,66,64,66,69,70,73,73
7,71,68,64,61,59,60,64,66,69,71
8,67,64,59,56,55,56,59,62,66,70
9,66,62,57,55,56,58,59,60,65,70
10,66,61,58,62,70,73,67,61,65,72
11,65,60,63,78,88,89,78,65,67,65
12,68,60,67,87,97,95,81,66,74,0
13,77,61,67,86,97,94,79,74,85,0
14,88,63,65,81,93,89,82,98,112,0
15,0,71,65,74,85,87,104,120,136,0
16,0,86,69,74,83,103,122,142,162,70
17,0,107,73,82,96,117,138,162,186,206
18,0,127,79,88,107,129,154,181,211,228
19,0,144,85,92,113,140,166,196,227,247
20,0,153,93,94,115,144,171,197,229,251
21,0,155,105,92,107,135,161,185,214,238
22,0,0,119,90,96,118,139,160,188,219
23,0,0,136,93,93,102,117,129,162,197
24,0,0,154,100,97,99,102,110,143,183
25,0,0,165,108,102,103,102,103,134,175
26,0,0,173,124,107,106,107,108,143,16
27,0,0,0,155,116,114,115,120,172,0
28,0,0,0,187,152,129,134,167,199,0
29,0,0,0,0,201,201,207,208,0,0
