,left.ang.x,left.ang.y,left.ang.z,left.acc.x,left.acc.y,left.acc.z,left.forces.0,left.forces.1,left.forces.2,left.forces.3,left.forces.4,left.forces.5,left.forces.6,left.forces.7,left.forces.8,left.forces.12,left.forces.13,left.forces.14,left.forces.17,left.forces.18,left.forces.21,left.forces.22,right.ang.x,right.ang.y,right.ang.z,right.acc.x,right.acc.y,right.acc.z,right.forces.0,right.forces.1,right.forces.2,right.forces.3,right.forces.4,right.forces.5,right.forces.6,right.forces.7,right.forces.8,right.forces.12,right.forces.13,right.forces.14,right.forces.17,right.forces.18,right.forces.21,right.forces.22,0.x,0.y,0.z,Unnamed: 87,1.x,1.y,1.z,Unnamed: 91,2.x,2.y,2.z,Unnamed: 95,3.x,3.y,3.z,Unnamed: 99,4.x,4.y,4.z,Unnamed: 103,5.x,5.y,5.z,Unnamed: 107,6.x,6.y,6.z,Unnamed: 111,7.x,7.y,7.z,Unnamed: 115,8.x,8.y,8.z,Unnamed: 119,9.x,9.y,9.z,Unnamed: 123,10.x,10.y,10.z,Unnamed: 127,11.x,11.y,11.z,Unnamed: 131,12.x,12.y,12.z
740,0.0,0.0,0.0,25.0,29.0,1002.0,1.9822371,9.4364605,6.1558743,6.020697,2.5149856,5.197298,4.6935406,10.120484,-0.1011027,0.5962458,1.3727912,2.053118,3.461297,4.5775685,1.295071,2.3535628,0.0,0.0,0.0,-28.0,20.0,1000.0,1.0977412,7.9947257,6.164461,8.963634,1.8609964,9.4838505,13.410231,10.861312,0.85710555,0.9037072,3.7117715,3.6137218,0.48740634,4.791473,0.97392887,-0.35232478,-0.0130542181432247,-0.0447534918785095,-0.2977069020271301,-0.0079353246837854,-0.0314060151576995,-0.1143177896738052,-0.1224119588732719,-0.0297962836921215,-0.0402739942073822,-0.1521783173084259,-0.0212005302309989,0.1418367773294448,-0.1679961532354354,-0.0481623746454715,0.2927752137184143,0.1146091446280479,-0.0394930988550186,-0.0514273196458816,0.1489923447370529,-0.0407265610992908,0.1256984621286392,0.1414971649646759,-0.0543586388230323,0.2859052419662475,-0.0706115961074829,0.0085170436650514,0.2333799004554748,-0.0724097788333892,0.0309581197798252,0.511566698551178,-0.0509519092738628,0.0764960050582885,0.7747482061386108,0.0471808686852455,-0.0067502502351999,0.2350121885538101,0.0665087476372718,-0.000867604278028,0.5089598298072815,0.0678211897611618,0.071708969771862,0.765117347240448,-0.0131013225764036,0.0028547551482915,0.2337816953659057,-0.0099053122103214,-0.0026787659153342,0.0826485902070999,-0.0087908692657947,-0.0457723438739776,-0.2066997289657592
741,0.0,0.0,0.0,27.0,27.0,1001.0,1.8743584,9.4364605,6.2483344,6.239512,2.464915,5.10909,4.886523,10.120484,-0.04818365,0.4398086,1.3727912,1.8983693,3.3170733,4.6298046,1.3472359,2.3535628,0.0,0.0,0.0,-30.0,20.0,999.0,1.2280718,7.8187027,5.9674764,9.017208,1.756166,9.59721,12.90764,11.223331,0.9978104,1.0935963,3.7117715,3.7806792,0.64583033,4.764246,1.0118333,-0.43893978,-0.0190341714769601,-0.0487419143319129,-0.2977719306945801,-0.0109528061002492,-0.0339817330241203,-0.1144602671265602,-0.1261133700609207,-0.0339036099612712,-0.0388476066291332,-0.1535044610500335,-0.0290653128176927,0.1450185179710388,-0.1691263020038604,-0.0552175156772136,0.2958819270133972,0.1127877682447433,-0.03991075232625,-0.0524155423045158,0.1474706977605819,-0.0418077670037746,0.125623419880867,0.1416012644767761,-0.0566302388906478,0.2873121798038482,-0.073009543120861,0.0059630079194903,0.2342815101146698,-0.0723249390721321,0.0327521115541458,0.5107524991035461,-0.0488041974604129,0.0781514123082161,0.7743444442749023,0.0456658378243446,-0.0050528747960925,0.2351352423429489,0.0664980486035347,-0.0002541225403547,0.5084622502326965,0.0717301368713378,0.0673410221934318,0.7660759091377258,-0.0150223225355148,0.0025136154145002,0.2342110723257064,-0.0117936041206121,-0.0037005208432674,0.0829285159707069,-0.0131354667246341,-0.0489263385534286,-0.2070548385381698
742,0.0,0.0,0.0,28.0,29.0,1001.0,1.8743584,9.670292,6.697869,6.130486,2.363566,5.3760943,4.7896614,10.120484,-0.04818365,0.5962458,1.3727912,2.20784,3.3170733,4.6298046,1.3472359,2.0272624,0.0,0.0,0.0,-32.0,20.0,1001.0,1.1403259,8.081345,6.0665603,9.240053,1.6515578,9.710955,13.410231,10.683302,0.92790836,1.0935963,2.9988134,3.7806792,0.72936493,4.791473,1.0502335,-0.43893978,-0.0245318785309791,-0.0557046048343181,-0.2983040809631347,-0.015541898086667,-0.0354307889938354,-0.1143871024250984,-0.128740593791008,-0.0327014178037643,-0.0357508696615695,-0.1530338078737259,-0.0266918558627367,0.1466731876134872,-0.1682264804840088,-0.0551178455352783,0.295598566532135,0.1086308881640434,-0.0413850359618663,-0.05042714625597,0.146272674202919,-0.0406812354922294,0.1260901838541031,0.1412047892808914,-0.0569943748414516,0.2857610583305359,-0.0733573511242866,0.0077826986089348,0.2366593331098556,-0.0706538781523704,0.0296223014593124,0.5133221745491028,-0.0470005273818969,0.0735456272959709,0.7765501737594604,0.0459036231040954,-0.0068732900545001,0.2371657490730285,0.0694951340556144,-0.0019383812323212,0.5071549415588379,0.0776249468326568,0.062271237373352,0.7662873864173889,-0.0152782145887613,0.0023200772702693,0.2365370094776153,-0.0136635955423116,-0.0039657326415181,0.0845222473144531,-0.0183781757950782,-0.051623947918415,-0.2072671800851822
743,0.0,0.0,0.0,27.0,30.0,1002.0,1.9822371,10.105886,6.609605,6.2938004,2.414448,4.9351025,4.886523,10.274387,-0.1011027,0.5962458,1.5484309,2.2851765,3.3170733,4.6561456,1.295071,2.0272624,0.0,0.0,0.0,-32.0,21.0,999.0,1.2731947,7.9947257,5.4533896,9.183034,1.5993431,9.939584,12.53222,10.5950575,0.9978104,1.0935963,2.6166503,3.9455814,0.5651496,4.791473,1.0118333,-0.26359057,-0.026238864287734,-0.0440679118037223,-0.2984367609024048,-0.0169647503644227,-0.0285441353917121,-0.1148255839943885,-0.1290142387151718,-0.0277772769331932,-0.0379064939916133,-0.153722196817398,-0.0229948721826076,0.143811747431755,-0.1677851527929306,-0.0531017668545246,0.2941904366016388,0.1070741862058639,-0.0345440618693828,-0.0544017255306243,0.1454915404319763,-0.0374662168323993,0.1206389442086219,0.1422320455312729,-0.0550472401082515,0.28012415766716,-0.0723006427288055,0.0065551931038498,0.2342590093612671,-0.0698444098234176,0.0215443521738052,0.5140823125839233,-0.0440593436360359,0.0716904774308204,0.7760725617408752,0.0471576154232025,-0.0060864808037877,0.2339214235544204,0.0732898265123367,-0.0021306695416569,0.5071712732315063,0.0824703499674797,0.0618671663105487,0.7676077485084534,-0.0141928363591432,0.0019353711977601,0.2338642627000808,-0.0131977871060371,-0.0012883730232715,0.0817282944917678,-0.0198554676026105,-0.0430798232555389,-0.2076842486858368
744,0.0,0.0,0.0,25.0,31.0,1002.0,2.0362914,10.356306,7.043232,6.4020505,2.663005,4.8493423,4.984112,10.667089,-0.1011027,0.36172977,1.1989037,2.4397745,3.1723192,4.551672,1.6253803,1.4570634,0.0,0.0,0.0,-31.0,20.0,1000.0,1.2280718,8.251942,5.8671837,9.126894,1.9660368,10.285314,13.158662,10.5950575,1.2689518,0.9991599,2.9049745,3.6137218,0.48740634,4.6304154,0.97392887,-0.43893978,-0.0235206857323646,-0.040604829788208,-0.2995074987411499,-0.0149614159017801,-0.026795744895935,-0.1162540689110755,-0.1277329921722412,-0.0267218761146068,-0.0394048877060413,-0.1529681533575058,-0.0222089067101478,0.1431458741426468,-0.1675040870904922,-0.0509921014308929,0.2929850816726684,0.1087862104177475,-0.0335618369281291,-0.0546223931014537,0.1465123742818832,-0.0414390638470649,0.1207277849316597,0.1426323503255844,-0.0601337626576423,0.2790959179401397,-0.0713267847895622,0.0058351354673504,0.2334694117307663,-0.0692615732550621,0.0167639963328838,0.5137022733688354,-0.0458554588258266,0.0639844685792923,0.7758997678756714,0.0475306808948516,-0.0064792539924383,0.2337060719728469,0.072612926363945,-0.0060783457010984,0.506914496421814,0.082073874771595,0.0512923300266265,0.7686160206794739,-0.0135450046509504,0.0015960587188601,0.2333706021308899,-0.0124339777976274,-0.0008228067308664,0.0813829898834228,-0.017489830031991,-0.0406594835221767,-0.2090595215559005
745,0.0,0.0,0.0,26.0,30.0,1000.0,1.9282603,10.255402,7.127735,6.617904,2.663005,4.764418,5.0824175,10.746997,-0.04818365,0.36172977,1.3727912,2.2851765,2.5877328,4.6036124,1.5107892,1.2192212,0.0,0.0,0.0,-30.0,20.0,998.0,1.1403259,7.7292395,6.164461,9.017208,2.0186343,11.222819,12.90764,10.076425,1.3347534,1.0935963,2.7139149,3.6137218,0.41268584,4.764246,0.97392887,-0.35232478,-0.0175389572978019,-0.0484578981995582,-0.2995184659957886,-0.0114987771958112,-0.0331583023071289,-0.1159082576632499,-0.1252309828996658,-0.0336237400770187,-0.0417044311761856,-0.1513946801424026,-0.0232216641306877,0.1407678574323654,-0.1666713804006576,-0.0445787087082862,0.2911034524440765,0.1110855787992477,-0.0383194461464881,-0.0552405193448066,0.1484446823596954,-0.0403549373149871,0.1212128847837448,0.1432452797889709,-0.0528481230139732,0.2796383500099182,-0.07111257314682,0.004590081050992,0.232425570487976,-0.0713153928518295,0.0239836871623992,0.5102412700653076,-0.0477539226412773,0.0703997388482093,0.773131787776947,0.0476994290947914,-0.0047037461772561,0.2328526526689529,0.0697999820113182,-0.0015695616602897,0.5057554841041565,0.0764488950371742,0.0639543458819389,0.7651689648628235,-0.0131441745907068,0.0020045563578605,0.2323245406150818,-0.0112810246646404,-0.0034539708867669,0.0806483626365661,-0.0126350354403257,-0.0477847829461097,-0.2088602632284164
746,0.0,0.0,0.0,26.0,30.0,1003.0,1.6594471,10.007422,7.4588995,6.671867,2.5646782,5.10909,4.984112,10.430104,-0.04818365,0.36172977,1.285619,2.4397745,2.5877328,4.5259223,1.053438,0.9755188,0.0,0.0,0.0,-31.0,20.0,999.0,1.0977412,7.5472617,6.451326,9.356781,1.8609964,10.868681,13.410231,10.161559,1.2689518,0.9991599,3.091554,3.529452,0.41268584,4.791473,0.89961034,-0.35232478,-0.0122899450361728,-0.0472405403852462,-0.2988883852958679,-0.0079108700156211,-0.0337912887334823,-0.1159162893891334,-0.1229604333639144,-0.0337512195110321,-0.0428318008780479,-0.150163471698761,-0.0237485207617282,0.1392457336187362,-0.1655182242393493,-0.0464259758591651,0.2895158529281616,0.1153841242194175,-0.0399962738156318,-0.0554560981690883,0.1505504250526428,-0.0396748036146163,0.1218334957957267,0.1423731744289398,-0.0518365874886512,0.2792448699474334,-0.070167601108551,0.0058309230953454,0.2296537160873413,-0.0722155943512916,0.0311053767800331,0.5069015622138977,-0.0534929707646369,0.0813608318567276,0.7695167064666748,0.0479321330785751,-0.0042998511344194,0.2311737835407257,0.0668115690350532,0.0011017685756087,0.5037530064582825,0.0679772570729255,0.0739346593618393,0.7619758248329163,-0.0124371014535427,0.0026731826364994,0.2301831841468811,-0.0093983709812164,-0.003858876414597,0.079336978495121,-0.008383760228753,-0.0483560822904109,-0.2085180878639221
747,0.0,0.0,0.0,26.0,29.0,1003.0,1.9282603,10.205319,6.8720546,7.052047,2.663005,5.10909,5.281133,10.827361,-0.1011027,0.36172977,1.4604013,2.1304853,2.5877328,4.4748583,1.1944735,0.9755188,4.0,0.0,0.0,-30.0,20.0,999.0,1.0560416,7.9947257,6.451326,9.356781,2.1239846,10.05446,12.782347,10.420104,1.2689518,0.9991599,3.2738261,3.6974616,0.48740634,4.791473,0.97392887,-0.17290007,-0.010033756494522,-0.0506674945354461,-0.2991835474967956,-0.0070992447435855,-0.0340585000813007,-0.1158259958028793,-0.1234555318951606,-0.0332260094583034,-0.0436989888548851,-0.1510980427265167,-0.0229832809418439,0.1378401517868042,-0.1674350947141647,-0.0475837364792823,0.2874349057674408,0.1163410022854805,-0.0411180108785629,-0.0547265633940696,0.1501703560352325,-0.0418530628085136,0.1231571659445762,0.1412948369979858,-0.0582148656249046,0.2806935310363769,-0.0708792731165885,0.0066035911440849,0.2303213775157928,-0.0743753388524055,0.0372366160154342,0.5080345273017883,-0.0582165792584419,0.0875005722045898,0.7691406011581421,0.0468430630862712,-0.0051258001476526,0.2322232127189636,0.062591902911663,0.0042049484327435,0.5071850419044495,0.0624010153114795,0.0816446840763092,0.764390766620636,-0.0135082602500915,0.002751468680799,0.2309952229261398,-0.0095402374863624,-0.0043464247137308,0.0795965120196342,-0.0069376546889543,-0.0494101755321025,-0.2084923684597015
748,0.0,0.0,0.0,26.0,29.0,1001.0,1.9282603,10.205319,6.697869,7.1069565,2.7116764,4.6803393,5.1814284,10.352018,-0.1011027,0.36172977,1.6368616,2.3624897,2.440128,4.500318,1.053438,0.20732127,0.0,0.0,0.0,-30.0,20.0,999.0,1.1837759,8.081345,6.0665603,9.41651,1.9660368,9.825081,13.158662,10.683302,1.1350209,0.9991599,2.8100157,3.863383,0.14578788,4.791473,0.936521,-0.35232478,-0.0124187842011451,-0.0428825318813324,-0.2997446656227112,-0.008472291752696,-0.0300179347395896,-0.1167579665780067,-0.1244391873478889,-0.0301706865429878,-0.044221106916666,-0.1526002138853073,-0.0219492521136999,0.1378189176321029,-0.1690055429935455,-0.0506034232676029,0.2877998948097229,0.1147130727767944,-0.0371125824749469,-0.0552430972456932,0.1491220444440841,-0.0407429412007331,0.1221425533294677,0.1403609216213226,-0.0581060126423835,0.2807632684707641,-0.0732233077287674,0.0059070345014333,0.230249598622322,-0.0771836638450622,0.0329547822475433,0.5079032182693481,-0.0609567463397979,0.0808438509702682,0.7722544074058533,0.0450690910220146,-0.0037403851747512,0.2316367328166961,0.0611820258200168,0.0085883270949125,0.5038281679153442,0.0623447000980377,0.0836981311440467,0.7632234692573547,-0.0156080313026905,0.0029354281723499,0.2306837439537048,-0.0109282545745372,-0.0030635753646492,0.0790536254644393,-0.0088897515088319,-0.0441569052636623,-0.2094018310308456
749,0.0,0.0,0.0,28.0,28.0,1003.0,1.8743584,10.007422,7.4588995,6.888378,2.663005,5.021688,5.0824175,10.508644,-0.1011027,0.4398086,1.285619,2.4397745,2.881166,4.5775685,1.146111,0.33936086,0.0,0.0,0.0,-31.0,20.0,1000.0,1.1403259,8.583365,6.451326,9.297965,1.9660368,9.939584,12.2827425,10.5950575,1.066839,1.1870358,2.9049745,4.1084943,0.41268584,4.8188553,0.89961034,-0.43893978,-0.0146249216049909,-0.0473712943494319,-0.3006342053413391,-0.0105336643755435,-0.0332826748490333,-0.1164408549666404,-0.1252432167530059,-0.0342318713665008,-0.0443623475730419,-0.1527090519666671,-0.0259097777307033,0.1390943825244903,-0.1692608445882797,-0.0521562099456787,0.2891643047332763,0.1120774149894714,-0.0400951132178306,-0.0563253723084926,0.1485310345888137,-0.0440952032804489,0.1214146539568901,0.1406625211238861,-0.0591883324086666,0.2806110978126526,-0.0732879266142845,0.0051101194694638,0.2306319624185562,-0.0759396106004715,0.0378833450376987,0.5061700940132141,-0.0563645809888839,0.0873093754053115,0.7694704532623291,0.0453245416283607,-0.0044921599328517,0.231624498963356,0.0629424378275871,0.0144906807690858,0.5048174858093262,0.0653259754180908,0.0901119709014892,0.7622873187065125,-0.0154033284634351,0.0026086186990141,0.2308410853147506,-0.0116515252739191,-0.0048804432153701,0.0790888890624046,-0.0107029844075441,-0.0475833937525749,-0.2097621858119964
